USER_ID_ENC,USER_NM_ENC,IS_META,IS_DATA,START_DATE,END_DATE,USED
Y2hvb25naHl1bnJ5dQ==,7Jyg7Lap7ZiE,Y,Y,2025-11-01,9999-12-31,Y
Y2hvb25naHl1bi5yeXU=,7Jyg7Lap7ZiE,Y,Y,2025-12-16,9999-12-31,Y
